1 57.05	83.97	23.29	2	0	4.97	1.5
2 56.94	94.01	25	2	38.08	3.75	2
3 42.5	60.33	19.2	3	192.228	7.41	0.8
4 3.96	15.81	4.55	3	77.853	0.25	0.01
5 4.99	18.51	7.77	2	0	0.56	0.02
6 2.49	20.36	4.16	3	0	1.08	0.02
7 6.12	15.3	8.98	3	0	0.33	0.06
8 13.96	35.21	20.49	3	0	0.6	0.22
9 31.96	111.45	19.95	2	0	9.45	0.66
10 36.51	151	22.2	3	0	4.8	1.17
11 45.23	155.72	19.17	2	372.473	2.53	0.74
12 11.73	18.9	11	2	0	6.2	0.5


